AcceptedTaxonID	DistributionElement	StandardInUse
1221622	RUN	TDWG Level 3 code
1221623	RUC	TDWG Level 3 code
1221624	RUN	TDWG Level 3 code
1221628	RUW	TDWG Level 3 code
1221630	RUS	TDWG Level 3 code
1221631	RUS	TDWG Level 3 code
1221632	RUW	TDWG Level 3 code
1221633	30    	TDWG Level 2 code
1221635	RUC	TDWG Level 3 code
1221653	27    	TDWG Level 2 code
1221662	RUC	TDWG Level 3 code
1221663	RUW	TDWG Level 3 code
1221664	RUC	TDWG Level 3 code
1221695	RUN	TDWG Level 3 code
1221696	RUN	TDWG Level 3 code
1221701	RUN	TDWG Level 3 code
1221703	RUN	TDWG Level 3 code
1221704	RUN	TDWG Level 3 code
1221705	RUN	TDWG Level 3 code
1221706	RUN	TDWG Level 3 code
1221724	RUN	TDWG Level 3 code
1221742	NSW-NS	TDWG Level 4 code
1221823	TEX	TDWG Level 3 code
1222239	RUS	TDWG Level 3 code
1222240	RUS	TDWG Level 3 code
1222242	RUS	TDWG Level 3 code
1222243	RUS	TDWG Level 3 code
1222251	RUS	TDWG Level 3 code
1222253	RUS	TDWG Level 3 code
1222254	RUS	TDWG Level 3 code
1222263	RUS	TDWG Level 3 code
1222264	RUS	TDWG Level 3 code
1222265	RUS	TDWG Level 3 code
1222267	RUS	TDWG Level 3 code
1222269	RUS	TDWG Level 3 code
1222271	RUS	TDWG Level 3 code
1222272	RUS	TDWG Level 3 code
1222273	RUS	TDWG Level 3 code
1222274	RUS	TDWG Level 3 code
1222275	RUS	TDWG Level 3 code
1222276	RUS	TDWG Level 3 code
1222277	RUS	TDWG Level 3 code
1222279	RUS	TDWG Level 3 code
1222280	RUS	TDWG Level 3 code
1222281	RUS	TDWG Level 3 code
1222282	RUS	TDWG Level 3 code
1222283	RUS	TDWG Level 3 code
1222284	RUS	TDWG Level 3 code
1222285	RUS	TDWG Level 3 code
1222287	RUS	TDWG Level 3 code
1222289	RUS	TDWG Level 3 code
1222290	RUS	TDWG Level 3 code
1222293	RUS	TDWG Level 3 code
1222294	RUS	TDWG Level 3 code
1223770	ORE	TDWG Level 3 code
1223770	Oregon.	text
1223771	ORE	TDWG Level 3 code
1223771	Oregon.	text
1224052	CHX	TDWG Level 3 code
