AcceptedTaxonID	DistributionElement	StandardInUse
1200136	MDG	TDWG Level 3 code
1200137	Madagascar	text
1200137	MDG	TDWG Level 3 code
1200138	Madagascar	text
1200138	MDG	TDWG Level 3 code
1200141	Madagascar	text
1200141	MDG	TDWG Level 3 code
1200144	Madagascar	text
1200144	MDG	TDWG Level 3 code
1200147	Madagascar	text
1200147	MDG	TDWG Level 3 code
1200149	Madagascar	text
1200149	MDG	TDWG Level 3 code
1200152	CMN	TDWG Level 3 code
1200152	CON	TDWG Level 3 code
1200152	Tropical Africa	text
1200153	2	TDWG Level 1 code
1200153	Africa	text
1200159	TAN	TDWG Level 3 code
1200159	Tanzania	text
1200160	TAN	TDWG Level 3 code
1200160	Tanzania,	text
1200161	22    	TDWG Level 2 code
1200161	West Tropical Africa	text
1200162	25    	TDWG Level 2 code
1200162	probably Tanzania	text
1200163	KEN	TDWG Level 3 code
1200163	Kenya	text
1200164	TAN	TDWG Level 3 code
1200164	Tanzania	text
1200165	Madagascar	text
1200165	MDG	TDWG Level 3 code
1200166	TAN	TDWG Level 3 code
1200166	Tanzania	text
1200167	Cape Province	text
1200167	TAN	TDWG Level 3 code
1200169	27    	TDWG Level 2 code
1200169	Cape Province	text
1200169	CPP-EC	TDWG Level 4 code
1200172	Transvaal	text
1200172	TVL	TDWG Level 3 code
1200174	2	TDWG Level 1 code
1200174	Africa	text
1200177	Madagascar	text
1200177	MDG	TDWG Level 3 code
1200178	Madagascar	text
1200178	MDG	TDWG Level 3 code
1200179	Madagascar	text
1200179	MDG	TDWG Level 3 code
1200181	Madagascar	text
1200181	MDG	TDWG Level 3 code
1200182	Madagascar	text
1200182	MDG	TDWG Level 3 code
1200183	Madagascar	text
1200183	MDG	TDWG Level 3 code
1200185	Madagascar	text
1200185	MDG	TDWG Level 3 code
1200188	Madagascar	text
1200188	MDG	TDWG Level 3 code
1200189	Madagascar	text
1200189	MDG	TDWG Level 3 code
1200191	Madagascar	text
1200191	MDG	TDWG Level 3 code
1200193	Madagascar	text
1200193	MDG	TDWG Level 3 code
1200196	TAN	TDWG Level 3 code
1200196	Tanzania	text
1200201	Madagascar	text
1200201	MDG	TDWG Level 3 code
1200204	Madagascar	text
1200204	MDG	TDWG Level 3 code
1200205	Madagascar	text
1200205	MDG	TDWG Level 3 code
1200206	Madagascar	text
1200206	MDG	TDWG Level 3 code
1200207	Madagascar	text
1200207	MDG	TDWG Level 3 code
1200208	Madagascar	text
1200208	MDG	TDWG Level 3 code
1200209	Madagascar	text
1200209	MDG	TDWG Level 3 code
1200211	Madagascar	text
1200211	MDG	TDWG Level 3 code
1200212	Madagascar	text
1200212	MDG	TDWG Level 3 code
1200214	Madagascar	text
1200214	MDG	TDWG Level 3 code
1200218	Madagascar	text
1200218	MDG	TDWG Level 3 code
1200219	Madagascar	text
1200219	MDG	TDWG Level 3 code
1200220	Madagascar	text
1200220	MDG	TDWG Level 3 code
1200221	Madagascar	text
1200221	MDG	TDWG Level 3 code
1200222	Madagascar	text
1200222	MDG	TDWG Level 3 code
1200223	Madagascar	text
1200223	MDG	TDWG Level 3 code
1200224	Madagascar	text
1200224	MDG	TDWG Level 3 code
1200225	Madagascar	text
1200225	MDG	TDWG Level 3 code
1200226	Madagascar	text
1200226	MDG	TDWG Level 3 code
1200227	Madagascar	text
1200227	MDG	TDWG Level 3 code
1200228	Madagascar	text
1200228	MDG	TDWG Level 3 code
1200229	Madagascar	text
1200229	MDG	TDWG Level 3 code
1200230	Madagascar	text
1200230	MDG	TDWG Level 3 code
1200231	Madagascar	text
1200231	MDG	TDWG Level 3 code
1200232	Madagascar	text
1200232	MDG	TDWG Level 3 code
1200234	Madagascar	text
1200234	MDG	TDWG Level 3 code
1200238	Madagascar	text
1200238	MDG	TDWG Level 3 code
1200240	Madagascar	text
1200240	MDG	TDWG Level 3 code
1200241	Madagascar	text
1200241	MDG	TDWG Level 3 code
1200242	Madagascar	text
1200242	MDG	TDWG Level 3 code
1200243	Madagascar	text
1200243	MDG	TDWG Level 3 code
1200245	Madagascar	text
1200245	MDG	TDWG Level 3 code
1200247	Madagascar	text
1200247	MDG	TDWG Level 3 code
1200254	BOR-SR	TDWG Level 4 code
1200254	Sarawak; Borneo	text
1200257	BOR-BR	TDWG Level 4 code
1200257	BOR-SR	TDWG Level 4 code
1200257	Brunei, Kalimantan, Sabah, Sarawak	text
1200258	50    	TDWG Level 2 code
1200258	BOR	TDWG Level 3 code
1200258	Kalimantan & Sarawak in Borneo [not Australia]	text
1200260	SUM	TDWG Level 3 code
1200260	Sumatera	text
1200261	JAW	TDWG Level 3 code
1200261	Jawa, Peninsular Malaysia, Sumatra	text
1200261	MLY	TDWG Level 3 code
1200261	SUM	TDWG Level 3 code
1200268	BOR-BR	TDWG Level 4 code
1200268	BOR-SR	TDWG Level 4 code
1200268	Brunei, Sarawak	text
1200272	BOR-SB	TDWG Level 4 code
1200272	Sabah	text
1200275	42    	TDWG Level 2 code
1200275	MLY-PM	TDWG Level 4 code
1200275	Peninsular Malaysia, Singapore, Sumatra, Sarawak, Thailand; also reported from Madagascar	text
1200281	SUM	TDWG Level 3 code
1200281	Sumatera	text
1200285	BOR-SB	TDWG Level 4 code
1200285	BOR-SR	TDWG Level 4 code
1200285	Sabah	text
1200288	PHI	TDWG Level 3 code
1200288	Philippines	text
1200289	PHI	TDWG Level 3 code
1200290	PHI	TDWG Level 3 code
1200290	Philippines	text
1200292	Philippines	text
1200293	PHI	TDWG Level 3 code
1200293	Philippines	text
1200294	PHI	TDWG Level 3 code
1200294	Philippines	text
1200295	PHI	TDWG Level 3 code
1200295	Philippines	text
1200297	PHI	TDWG Level 3 code
1200297	Philippines	text
1200298	PHI	TDWG Level 3 code
1200298	Philippines	text
1200299	PHI	TDWG Level 3 code
1200299	Philippines	text
1200300	PHI	TDWG Level 3 code
1200300	Philippines	text
1200301	PHI	TDWG Level 3 code
1200301	Philippines	text
1200302	PHI	TDWG Level 3 code
1200302	Philippines	text
1200303	PHI	TDWG Level 3 code
1200303	Philippines	text
1200304	PHI	TDWG Level 3 code
1200304	Philippines	text
1200306	PHI	TDWG Level 3 code
1200306	Philippines	text
1200307	PHI	TDWG Level 3 code
1200307	Philippines	text
1200308	PHI	TDWG Level 3 code
1200308	Philippines	text
1200309	PHI	TDWG Level 3 code
1200309	Philippines	text
1200311	PHI	TDWG Level 3 code
1200311	Philippines	text
1200313	PHI	TDWG Level 3 code
1200313	Philippines	text
1200314	PHI	TDWG Level 3 code
1200314	Philippines	text
1200315	PHI	TDWG Level 3 code
1200315	Philippines: Babuyan Islands	text
1200316	PHI	TDWG Level 3 code
1200316	Philippines: Mindanao Is. 	text
1200317	PHI	TDWG Level 3 code
1200317	Philippines: Babuyan Islands	text
1200319	PHI	TDWG Level 3 code
1200319	Philippines: Mindanao; Leyte Is.	text
1200323	PHI	TDWG Level 3 code
1200323	Philippines	text
1200324	PHI	TDWG Level 3 code
1200324	Philippines	text
1200325	PHI	TDWG Level 3 code
1200325	Philippines	text
1200330	BOR-SR	TDWG Level 4 code
1200330	Sarawak	text
1200332	BOR-SR	TDWG Level 4 code
1200332	Sarawak	text
1200333	BOR	TDWG Level 3 code
1200333	Brunei, Sabah, Sarawak	text
1200333	NWG	TDWG Level 3 code
1200335	BOR-SR	TDWG Level 4 code
1200335	Sarawak	text
1200337	PHI	TDWG Level 3 code
1200337	Philippines	text
1200339	FIJ	TDWG Level 3 code
1200339	Fiji	text
1200341	PHI	TDWG Level 3 code
1200341	Philippines	text
1200342	PHI	TDWG Level 3 code
1200342	Philippines	text
1200343	PHI	TDWG Level 3 code
1200343	Philippines: Mindanao Is.	text
1200345	PHI	TDWG Level 3 code
1200345	Philippines [not Sri Lanka]	text
1200345	SRL	TDWG Level 3 code
1200347	PHI	TDWG Level 3 code
1200347	Philippines	text
1200348	Philippines: Panay Is.	text
1200350	PHI	TDWG Level 3 code
1200350	Philippines	text
1200351	PHI	TDWG Level 3 code
1200351	Philippines	text
1200352	PHI	TDWG Level 3 code
1200352	Philippines	text
1200353	PHI	TDWG Level 3 code
1200353	Philippines	text
1200354	PHI	TDWG Level 3 code
1200354	Philippines	text
1200355	PHI	TDWG Level 3 code
1200355	Philippines	text
1200356	PHI	TDWG Level 3 code
1200356	Philippines	text
1200358	Philippines	text
1200359	PHI	TDWG Level 3 code
1200359	Philippines	text
1200360	PHI	TDWG Level 3 code
1200360	Philippines	text
1200361	PHI	TDWG Level 3 code
1200361	Philippines	text
1200362	PHI	TDWG Level 3 code
1200362	Philippines	text
1200363	PHI	TDWG Level 3 code
1200363	Philippines	text
1200364	PHI	TDWG Level 3 code
1200364	Philippines	text
1200365	PHI	TDWG Level 3 code
1200365	Philippines	text
1200368	PHI	TDWG Level 3 code
1200368	Philippines	text
1200371	SUL	TDWG Level 3 code
1200371	Sulawesi	text
1200374	PHI	TDWG Level 3 code
1200374	Philippines	text
1200379	BOR	TDWG Level 3 code
1200379	Borneo	text
1200380	BOR-SB	TDWG Level 4 code
1200380	Sabah	text
1200381	BOR-KA	TDWG Level 4 code
1200381	Kalimantan	text
1200382	BOR	TDWG Level 3 code
1200382	Borneo	text
1200383	BOR-KA	TDWG Level 4 code
1200383	Borneo	text
1200384	PHI	TDWG Level 3 code
1200384	Philippines	text
1200385	BOR-KA	TDWG Level 4 code
1200385	Borneo	text
1200386	Borneo	text
1200386	BOR-SR	TDWG Level 4 code
1200389	BOR	TDWG Level 3 code
1200389	Borneo	text
1200390	Borneo	text
1200390	BOR-SB	TDWG Level 4 code
1200391	THA	TDWG Level 3 code
1200391	Thailand	text
1200393	BOR	TDWG Level 3 code
1200393	Thailand	text
1200395	Cambodia, Peninsular Malaysia, Singapore, Sumatra, Thailand, Vietnam	text
1200395	CBD	TDWG Level 3 code
1200395	SUM	TDWG Level 3 code
1200395	THA	TDWG Level 3 code
1200395	VIE	TDWG Level 3 code
1200401	China: Hong Kong	text
1200401	CHS-HK	TDWG Level 4 code
1200402	JAW	TDWG Level 3 code
1200402	Jawa	text
1200405	Borneo: Sarawak	text
1200405	BOR-SR	TDWG Level 4 code
1200406	Peninsular Malaysia, Singapore, Sumatra	text
1200406	SUM	TDWG Level 3 code
1200407	VIE	TDWG Level 3 code
1200407	Vietnam	text
1200408	VIE	TDWG Level 3 code
1200408	Vietnam	text
1200410	Borneo	text
1200410	BOR-SB	TDWG Level 4 code
1200410	BOR-SR	TDWG Level 4 code
1200411	Borneo	text
1200411	BOR-SR	TDWG Level 4 code
1200412	Borneo	text
1200412	BOR-SB	TDWG Level 4 code
1200413	BOR	TDWG Level 3 code
1200413	Borneo	text
1200414	BOR-KA	TDWG Level 4 code
1200414	Kalimantan	text
1200416	JAW	TDWG Level 3 code
1200416	Jawa	text
1200416	LSI	TDWG Level 3 code
1200416	SUL	TDWG Level 3 code
1200419	36    	TDWG Level 2 code
1200419	China: Fujian, Guangdong, Guangxi, Hainan, Hong Kong; also Japan	text
1200419	CHS-HK	TDWG Level 4 code
1200421	MLY-PM	TDWG Level 4 code
1200421	Peninsular Malaysia and Singapore 	text
1200421	SUL	TDWG Level 3 code
1200421	SUM	TDWG Level 3 code
1200423	SUL	TDWG Level 3 code
